"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000223972.5",29,28,23,16,21,30,5,2
"ENSG00000227232.5",843,701,1102,495,838,967,578,573
"ENSG00000278267.1",26,19,24,16,13,20,12,16
"ENSG00000243485.5",20,9,30,9,10,4,9,3
"ENSG00000284332.1",0,0,0,0,0,0,0,0
"ENSG00000237613.2",19,6,19,4,8,6,14,7
"ENSG00000268020.3",0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,1,0,0,0
"ENSG00000238009.6",15,15,26,12,18,19,29,15
"ENSG00000239945.1",0,0,0,0,0,0,0,0
"ENSG00000233750.3",16,10,17,14,18,17,16,14
"ENSG00000268903.1",50,30,96,47,38,38,48,29
"ENSG00000269981.1",16,21,42,28,16,28,22,16
"ENSG00000239906.1",1,1,6,6,3,1,4,0
"ENSG00000241860.6",79,50,188,63,44,44,83,51
"ENSG00000222623.1",0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,1,0,0
"ENSG00000279928.2",12,21,17,11,12,21,2,2
"ENSG00000279457.4",1049,878,1314,606,1034,1303,658,634
"ENSG00000273874.1",25,20,19,12,11,15,7,18
"ENSG00000228463.10",301,208,329,123,490,471,202,134
"ENSG00000236679.2",17,7,11,8,20,24,14,9
"ENSG00000236601.2",2,0,0,0,1,0,1,3
"ENSG00000237094.12",203,130,365,190,235,247,195,152
"ENSG00000269732.1",0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,1,1,0
"ENSG00000233653.3",16,9,16,10,12,22,8,8
"ENSG00000250575.1",97,75,203,96,89,118,108,71
"ENSG00000278757.1",0,0,0,0,0,0,0,0
"ENSG00000230021.10",55,50,103,33,66,60,20,43
"ENSG00000235146.2",0,0,0,0,0,0,0,0
"ENSG00000225972.1",894,1186,1341,1055,1503,1555,1005,1160
"ENSG00000225630.1",8080,7907,10775,7496,12047,14216,6542,8027
"ENSG00000237973.1",53012,53223,67993,43636,97487,100972,57882,62814
"ENSG00000278791.1",0,0,0,0,0,0,0,0
"ENSG00000229344.1",589,803,1832,1084,2201,2170,863,952
"ENSG00000240409.1",15,11,20,16,32,36,23,20
"ENSG00000248527.1",11740,12363,16386,11160,14812,15922,10041,10738
"ENSG00000198744.5",3701,4020,4662,2895,3677,3608,2773,3076
"ENSG00000268663.1",0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,1,1,0
"ENSG00000229376.3",13,11,16,10,24,23,10,9
"ENSG00000228327.3",423,311,861,374,437,507,441,317
"ENSG00000223181.1",0,0,0,0,0,0,0,0
"ENSG00000229905.1",1,1,1,0,0,1,0,0
"ENSG00000237491.8",40,35,55,29,57,52,49,15
"ENSG00000285268.1",0,0,0,0,0,0,0,0
"ENSG00000230092.7",5,5,16,3,5,17,2,6
"ENSG00000177757.2",2,5,9,1,8,7,3,5
"ENSG00000228794.8",315,353,368,213,287,485,360,483
"ENSG00000225880.5",25,18,32,21,30,36,24,19
"ENSG00000230368.2",8,3,11,3,3,11,10,4
"ENSG00000234711.1",0,1,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0
"ENSG00000272438.1",0,0,2,0,0,0,2,0
"ENSG00000230699.2",4,0,8,1,5,4,4,2
